comparison_id,timestamp,baseline_hostname,candidate_hostname,category,section,change_type,line_number,old_value,new_value,risk_label,risk_weight,confidence_score,description,recommendation
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Management,hostname Branch-R1,Removed,1,hostname Branch-R1,,Low,20,90,Removed Management configuration in 'hostname Branch-R1',Verify hostname update across monitoring systems.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Management,hostname Branch-R2,Added,1,,hostname Branch-R2,Low,20,90,Added Management configuration in 'hostname Branch-R2',Verify hostname update across monitoring systems.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/0,Modified,3, description WAN Interface, description MPLS Primary WAN,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/0',Verify interface operational status and traffic flow.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/0,Modified,4, ip address 10.1.1.1 255.255.255.0, ip address 10.2.2.1 255.255.255.0,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/0',Verify interface operational status and traffic flow.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/1,Modified,7, description LAN Interface, description Internet Backup,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/1',Verify interface operational status and traffic flow.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/1,Modified,8, ip address 192.168.1.1 255.255.255.0, ip address 172.16.10.1 255.255.255.0,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/1',Verify interface operational status and traffic flow.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/1,Added,9,, shutdown,Medium,60,90,Added Interface configuration in 'interface GigabitEthernet0/1',Verify interface shutdown impact before deployment.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/2,Added,10,,interface GigabitEthernet0/2,Low,30,90,Added Interface configuration in 'interface GigabitEthernet0/2',Verify interface operational status and traffic flow.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/2,Added,11,, description Management LAN,Low,30,90,Added Interface configuration in 'interface GigabitEthernet0/2',Verify interface operational status and traffic flow.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/2,Added,12,, ip address 192.168.100.1 255.255.255.0,Low,30,90,Added Interface configuration in 'interface GigabitEthernet0/2',Verify interface operational status and traffic flow.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Routing,router ospf 1,Modified,11, network 10.1.1.0 0.0.0.255 area 0, router-id 2.2.2.2,High,90,95,Modified Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Routing,router ospf 1,Added,16,, network 10.2.2.0 0.0.0.255 area 0,High,90,95,Added Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Routing,router ospf 1,Added,17,, network 172.16.10.0 0.0.0.255 area 1,High,90,95,Added Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Routing,router ospf 1,Added,18,, passive-interface GigabitEthernet0/2,High,90,95,Added Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Routing,router bgp 65000,Added,19,,router bgp 65000,High,95,95,Added Routing configuration in 'router bgp 65000',Verify BGP neighbor state and advertised prefixes.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Routing,router bgp 65000,Added,20,, neighbor 192.168.254.1 remote-as 65100,High,95,95,Added Routing configuration in 'router bgp 65000',Verify BGP neighbor state and advertised prefixes.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Routing,router bgp 65000,Added,21,, network 10.2.2.0 mask 255.255.255.0,High,95,95,Added Routing configuration in 'router bgp 65000',Verify BGP neighbor state and advertised prefixes.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Routing,ip route 0.0.0.0 0.0.0.0 10.2.2.254,Added,22,,ip route 0.0.0.0 0.0.0.0 10.2.2.254,High,95,95,Added Routing configuration in 'ip route 0.0.0.0 0.0.0.0 10.2.2.254',Validate default route reachability before implementation.
